ID,health.risk,hcho.cat,pm2.5cat,tvoc.cat,metsec.cat,co2.cat,airflow.cat,totalrisk
313,Ok,0,0,0,1,0,1,2
314,Ok,0,0,0,1,0,1,2
315,Problem,0,1,0,1,0,1,3
316,Ok,0,1,0,1,0,1,3
317,Ok,0,0,0,1,0,1,2
318,Ok,0,0,0,1,0,1,2
319,Ok,0,0,0,1,0,1,2
320,Ok,0,0,0,1,0,1,2
321,Ok,0,0,0,1,0,1,2
322,Ok,0,0,0,1,0,1,2
323,Ok,0,0,0,1,0,1,2
324,Problem,0,0,0,1,0,1,2
325,Ok,1,0,1,0,1,0,3
326,Problem,1,0,1,0,1,0,3
327,Ok,1,0,1,0,1,0,3
328,Ok,1,0,1,0,1,0,3
329,Ok,1,0,1,0,1,0,3
330,Ok,1,0,1,0,1,0,3
331,Ok,1,0,1,0,1,0,3
332,Ok,1,0,1,0,1,0,3
333,Ok,1,0,1,0,1,0,3
334,Ok,1,0,1,0,1,0,3
335,Ok,1,0,1,0,1,0,3
336,Ok,1,0,1,0,1,0,3
337,Ok,0,0,1,0,1,0,2
338,Ok,1,0,1,0,1,0,3
339,Ok,1,0,1,0,1,1,4
340,Ok,1,0,1,0,1,0,3
341,Ok,1,0,1,0,1,0,3
342,Ok,1,0,1,0,1,0,3
343,Ok,1,0,1,0,1,0,3
344,Ok,1,0,1,0,1,0,3
345,Problem,1,0,1,0,1,0,3
346,Ok,1,0,1,0,1,0,3
347,Ok,1,0,1,0,1,0,3
348,Ok,1,0,1,0,1,0,3
349,Ok,1,0,1,0,1,0,3
350,Ok,1,0,1,0,1,0,3
351,Ok,1,0,1,0,1,0,3
352,Problem,1,0,1,0,1,0,3
353,Ok,1,0,1,0,1,1,4
354,Ok,1,0,1,0,1,0,3
355,Ok,1,0,1,0,1,0,3
356,Ok,1,0,1,0,1,0,3
357,Ok,1,0,1,0,1,0,3
358,Ok,1,0,1,0,1,0,3
359,Problem,1,0,1,0,1,0,3
360,Ok,1,0,1,0,1,0,3
361,Ok,1,0,1,0,1,0,3
362,Problem,1,0,1,0,1,0,3
363,Ok,1,0,1,0,1,0,3
364,Problem,1,0,1,0,1,0,3
365,Ok,1,0,1,0,1,0,3
366,Ok,1,0,1,0,1,0,3
367,Problem,1,0,1,0,1,0,3
368,Ok,1,0,1,0,1,0,3
369,Ok,1,0,1,0,1,0,3
370,Ok,1,1,1,0,0,0,3
371,Ok,1,1,1,0,0,0,3
372,Ok,1,1,1,0,0,0,3
373,Ok,0,1,1,0,0,0,2
374,Ok,0,1,1,0,1,0,3
375,Ok,0,1,1,0,1,0,3
376,Ok,0,1,0,0,0,0,1
377,Ok,0,1,0,0,0,0,1
378,Problem,0,1,0,0,0,0,1
379,Ok,0,1,0,0,0,0,1
380,Ok,0,1,0,0,1,0,2
381,Ok,0,1,0,0,0,0,1
382,Ok,1,1,0,0,1,0,3
383,Problem,0,1,0,0,0,0,1
384,Ok,0,1,0,0,0,0,1
385,Problem,0,0,0,0,0,0,0
386,Ok,0,1,0,0,0,0,1
387,Problem,0,0,0,0,0,0,0
388,Ok,0,1,0,0,0,0,1
389,Ok,0,1,0,0,0,0,1
390,Problem,0,1,0,0,0,0,1
391,Ok,0,1,0,0,0,0,1
392,Ok,0,1,0,0,0,0,1
393,Ok,0,1,0,0,0,0,1
394,Ok,0,1,0,0,0,0,1
395,Ok,0,0,0,0,0,0,0
396,Ok,0,1,0,0,0,0,1
397,Problem,1,1,0,0,0,0,2
398,Problem,0,1,0,0,0,0,1
399,Ok,0,1,0,0,0,0,1
400,Ok,1,1,0,0,1,0,3
401,Ok,0,1,0,0,0,0,1
402,Ok,0,1,0,0,0,0,1
403,Ok,0,1,0,0,0,0,1
404,Ok,0,1,0,0,0,0,1
405,Ok,1,1,0,0,0,1,3
406,Ok,0,0,0,0,0,0,0
407,Ok,0,1,0,0,0,1,2
408,Ok,0,1,0,0,0,0,1
409,Problem,0,0,0,0,0,1,1
410,Ok,0,0,0,0,0,1,1
411,Ok,0,1,0,0,0,0,1
412,Ok,0,1,0,0,0,0,1
413,Ok,0,1,0,0,0,0,1
414,Ok,0,1,0,0,0,0,1
415,Ok,0,1,0,0,0,0,1
416,Ok,0,1,0,0,0,0,1
417,Ok,0,1,0,0,0,0,1
418,Ok,0,0,0,0,0,0,0
419,Ok,0,1,1,0,0,0,2
420,Ok,0,1,1,0,0,0,2
421,Ok,1,1,1,1,0,0,4
422,Ok,1,1,1,1,0,1,5
423,Ok,1,1,0,1,0,1,4
424,Ok,1,1,1,0,0,1,4
425,Ok,0,0,0,1,0,1,2
426,Problem,0,0,0,1,0,1,2
427,Problem,0,0,0,1,0,1,2
428,Ok,0,0,0,0,0,1,1
429,Ok,0,0,0,0,0,1,1
430,Ok,0,0,0,0,0,1,1
431,Problem,0,0,0,0,0,1,1
432,Ok,0,0,0,0,0,1,1
433,Problem,0,0,0,0,0,1,1
434,Problem,0,0,0,0,0,1,1
435,Ok,0,0,0,0,0,1,1
436,Ok,0,0,0,0,0,1,1
437,Ok,0,0,0,0,0,1,1
438,Ok,0,0,0,1,0,1,2
439,Ok,0,0,0,0,0,1,1
440,Ok,1,0,0,0,0,1,2
441,Ok,0,0,0,1,0,1,2
442,Ok,0,0,0,0,1,1,2
443,Ok,0,0,0,0,0,1,1
444,Ok,0,0,0,1,0,1,2
445,Problem,0,0,0,0,0,1,1
446,Ok,0,0,0,0,0,1,1
447,Ok,0,0,0,0,0,1,1
448,Ok,0,0,0,0,0,1,1
449,Ok,0,0,0,0,0,1,1
450,Ok,0,0,0,0,0,1,1
451,Ok,0,0,0,0,0,1,1
452,Ok,0,0,0,0,0,1,1
453,Problem,0,0,0,0,0,1,1
454,Ok,0,0,0,0,0,1,1
455,Ok,0,0,0,0,0,1,1
456,Ok,0,0,0,0,0,1,1
457,Problem,0,0,0,0,0,1,1
458,Ok,0,0,0,1,0,1,2
459,Problem,0,0,0,1,0,1,2
460,Ok,0,0,0,1,0,1,2
461,Ok,0,0,0,0,0,1,1
462,Ok,0,0,0,0,0,1,1
463,Ok,0,0,0,0,0,1,1
464,Ok,0,0,0,1,0,1,2
465,Problem,0,0,0,1,0,1,2
466,Problem,0,0,0,1,0,1,2
467,Problem,0,0,0,0,0,1,1
468,Ok,0,0,0,0,0,1,1
469,Ok,0,0,0,0,0,1,1
470,Problem,0,0,0,0,0,1,1
471,Ok,0,0,0,0,0,1,1
472,Problem,0,0,0,0,0,1,1
473,Problem,0,0,0,0,0,1,1
474,Problem,0,0,0,0,0,1,1
475,Ok,0,0,0,0,1,1,2
476,Ok,0,0,0,0,0,1,1
477,Ok,1,1,1,1,1,1,6
478,Ok,1,1,1,1,1,1,6
479,Problem,1,1,1,1,1,1,6
480,Ok,1,1,1,1,1,1,6
481,Ok,1,1,1,1,1,1,6
482,Ok,1,1,1,1,1,1,6
483,Ok,1,1,1,1,1,1,6
484,Problem,1,1,0,1,1,1,5
485,Ok,1,1,1,1,1,1,6
486,Ok,1,1,1,1,1,1,6
487,Ok,1,1,0,1,1,1,5
488,Ok,1,1,1,1,1,1,6
489,Problem,1,1,1,1,1,1,6
490,Ok,1,1,1,1,1,1,6
491,Ok,0,1,1,1,1,1,5
492,Ok,1,1,1,1,1,1,6
493,Problem,0,1,0,0,0,1,2
494,Problem,1,1,1,0,0,1,4
495,Ok,1,1,1,1,1,1,6
496,Problem,0,1,1,1,1,1,5
497,Ok,1,1,1,1,1,1,6
498,Ok,1,0,1,0,1,0,3
499,Ok,1,0,1,0,1,0,3
500,Problem,1,0,1,0,1,0,3
501,Ok,1,0,1,0,1,0,3
502,Ok,1,0,1,0,1,0,3
503,Problem,1,0,1,0,1,0,3
504,Ok,1,0,1,0,1,0,3
505,Ok,1,0,1,0,1,0,3
506,Problem,1,0,1,0,1,0,3
507,Ok,1,0,1,0,1,0,3
508,Ok,1,0,1,0,1,0,3
509,Ok,1,0,1,0,1,0,3
510,Ok,1,0,1,0,1,0,3
511,Problem,1,1,0,1,0,1,4
512,Problem,0,1,0,1,0,1,3
513,Ok,0,1,0,1,1,1,4
